37427 words were skipped because they had more than 12 letters.
1273 words were skipped because they were duplicates
196184 words loaded in 178264 anagrams.

0000000000000001113:	fot oft
0000000000000015211:	fou ouf
0000000000000049979:	Fur urf
0000000000000045961:	hug ugh
0000000000000027907:	gim mig
0000000000000004543:	gio goi
0000000000000043483:	gip pig
0000000000000001947:	git tig
0000000000000012803:	gol log
0000000000000074989:	gul Lug
0000000000000104017:	Gum mug
0000000000000005369:	gon nog
0000000000000031447:	gnu gun
0000000000000009499:	Gor rog
0000000000000007021:	gos sog
0000000000000001239:	got tog
0000000000000162073:	gup pug
0000000000000055637:	gur rug
0000000000000007257:	gut tug
0000000000000014003:	hip phi
0000000000000003553:	his shi
0000000000000061541:	Huk khu
0000000000000005719:	mho ohm
0000000000000002261:	sho soh
0000000000000000399:	hot Tho
0000000000000006251:	how who
0000000000000052193:	hup phu
0000000000000013243:	Shu ush
0000000000000026939:	ilk kil
0000000000000011297:	ink kin
0000000000000006083:	koi oki
0000000000000058223:	kip pik
0000000000000014663:	lim Mil
0000000000000004433:	lin nil
0000000000000005797:	lis sil
0000000000000001023:	lit til
0000000000000006149:	min nim
0000000000000010879:	mir rim
0000000000000008041:	ism Sim
0000000000000001001:	Ino ion
0000000000000009581:	Nip pin
0000000000000000429:	nit tin
0000000000000001771:	Rio roi
0000000000000000231:	Ito toi
0000000000000004697:	iyo yoi
0000000000000016951:	pir rip
0000000000000012529:	psi sip
0000000000000002211:	pit tip
0000000000000004301:	Sir Sri
0000000000000000759:	rit tri
0000000000000001551:	Twi wit
0000000000000012719:	kor Rok
0000000000000009401:	kos sok
0000000000000014539:	lop pol
0000000000000000651:	Lot tol
0000000000000008897:	Lou Luo
0000000000000032147:	lys sly
0000000000000020167:	mop pom
0000000000000000903:	mot Tom
0000000000000018361:	moy yom
0000000000000040549:	Mru Rum
0000000000000029971:	Mus sum
0000000000000001547:	ons son
0000000000000000273:	not ton
0000000000000005551:	noy yon
0000000000000012259:	run urn
0000000000000001599:	nut tun
0000000000000000147:	Oto too
0000000000000022043:	pow wop
0000000000000006601:	our Uro
0000000000000007567:	row wro
0000000000000000861:	out tou
0000000000000001281:	toy yot
0000000000000020069:	woy yow
0000000000000038003:	oxy yox
0000000000000094001:	pry pyr
0000000000000046699:	pus sup
0000000000000008241:	put tup
0000000000000016031:	Rus sur
0000000000000002829:	rut tur
0000000000000011849:	ssu Sus
0000000000000126025:	Abba baba
0000000000000065675:	abac caba
0000000000000076325:	amba Maba
0000000000000023075:	anba Bana
0000000000000030175:	abas Saba
0000000000000108275:	Baya yaba
0000000000000034225:	acca Caca
0000000000000021275:	arca Cara
0000000000000031175:	Adam dama
0000000000000002175:	adat data
0000000000000098825:	Gapa paga
0000000000000060475:	Agau agua
0000000000000069325:	awag waag
0000000000000037525:	Akha kaha
0000000000000020425:	amah maha
0000000000000028975:	ayah haya
0000000000000011825:	Amia Maia
0000000000000089225:	jama Maja
0000000000000156025:	Akka kaka
0000000000000061225:	Akal kala
0000000000000025675:	Akan kana
0000000000000010075:	Alan anal
0000000000000051925:	paal Pala
0000000000000013175:	alas lasa
0000000000000056575:	aval lava
0000000000000046225:	Amma maam
0000000000000003225:	atma Tama
0000000000000007475:	arna Rana
0000000000000019825:	anay Yana
0000000000000009775:	rasa Sara
0000000000000023575:	Aaru aura
0000000000000041975:	Avar vara
0000000000000035075:	Arya raya
0000000000000003525:	awat tawa
0000000000000579715:	barb brab
0000000000001033405:	babu buba
0000000000001537505:	Abby baby
0000000000000249565:	bach chab
0000000000000113245:	Adib Ibad
0000000000000319145:	bald blad
0000000000000041890:	Egba Gabe
0000000000000056090:	bake beak
0000000000000030530:	beam bema
0000000000000029110:	aube beau
0000000000000071710:	baze ezba
0000000000000146615:	bago boga
0000000000000155135:	Bhar Harb
0000000000000114665:	bash shab
0000000000000167915:	iamb mabi
0000000000000183535:	biwa Wabi
0000000000001149845:	Baku Kuba
0000000000000473215:	balm lamb
0000000000000187085:	blas slab
0000000000000033015:	Balt blat
0000000000000517235:	bawl blaw
0000000000000106855:	ambo boma
0000000000000351095:	barm Bram
0000000000000106145:	barn bran
0000000000000078455:	nabs snab
0000000000000057155:	boar bora
0000000000000024495:	Bart brat
0000000000000498065:	bray yarb
0000000000000006290:	case esca
0000000000000001110:	cate Teca
0000000000000038665:	chai chia
0000000000000235505:	Caph chap
0000000000000010545:	chat tach
0000000000000214415:	achy chay
0000000000000087505:	amic mica
0000000000000026455:	Cain Inca
0000000000000453065:	calk lack
0000000000000336145:	cark rack
0000000000000248455:	cask sack
0000000000000686905:	cawk wack
0000000000000246605:	calm clam
0000000000000384245:	calp clap
0000000000000017205:	clat talc
0000000000000235135:	caul Ucal
0000000000000055685:	coma maco
0000000000000182965:	cram marc
0000000000000016835:	Coan onca
0000000000000098605:	Cuna unca
0000000000000146705:	cany cyan
0000000000000086765:	copa paco
0000000000000115255:	coax coxa
0000000000000285085:	carp crap
0000000000000462685:	cuya yuca
0000000000000256505:	Addy dyad
0000000000000015370:	deaf fade
0000000000000005510:	hade head
0000000000000003190:	aide idea
0000000000000019430:	depa peda
0000000000000029290:	adze daze
0000000000000059885:	Dago goad
0000000000000145435:	dags Sgad
0000000000000035815:	dhan hand
0000000000000126005:	dika kaid
0000000000000004785:	adit dita
0000000000000116435:	avid diva
0000000000000013485:	dalt tald
0000000000000081055:	damn mand
0000000000000255635:	duma Maud
0000000000000088595:	dawn wand
0000000000000068005:	apod dopa
0000000000000090335:	doxa Odax
0000000000000223445:	pard prad
0000000000000056695:	Sadr Sard
0000000000000010005:	dart drat
0000000000000156745:	draw ward
0000000000000150365:	days Dyas
0000000000000645685:	Davy vady
0000000000000001460:	eave Evea
0000000000000041870:	fake feak
0000000000000024190:	ague auge
0000000000000012730:	epha heap
0000000000000003230:	seah shea
0000000000000002530:	aire eria
0000000000000010790:	Jane Jean
0000000000000018170:	rake reak
0000000000000013430:	sake seak
0000000000000002170:	aloe Olea
0000000000000014570:	wale weal
0000000000000031310:	laze zeal
0000000000000020210:	wame weam
0000000000000000910:	aeon eoan
0000000000000002990:	earn rane
0000000000000002210:	anes sane
0000000000000005290:	rare rear
0000000000000023230:	Ezra raze
0000000000000010370:	easy eyas
0000000000000001230:	aute etua
0000000000000002190:	Tave veta
0000000000000856745:	affy yaff
0000000000000090365:	alif fail
0000000000000037895:	fain naif
0000000000000067045:	fair fiar
0000000000000057505:	foal loaf
0000000000000731135:	falx flax
0000000000000262085:	farm Fram
0000000000000042665:	faro fora
0000000000000018285:	frat raft
0000000000000286465:	warf Wraf
0000000000000013515:	fast saft
0000000000000510655:	awfu wauf
0000000000000095285:	gash shag
0000000000000229805:	augh Guha
0000000000000302965:	kang knag
0000000000000374945:	Gaul gula
0000000000000088795:	Goma ogam
0000000000000520085:	gaum muga
0000000000000065195:	sang snag
0000000000000035105:	sago Soga
0000000000000020355:	grat trag
0000000000000015045:	gast stag
0000000000001817495:	gazy zyga
0000000000000070015:	Hapi pahi
0000000000000024035:	Ahir hair
0000000000000003135:	Hati Thai
0000000000000022515:	kath khat
0000000000000307705:	haku kahu
0000000000000050065:	hals lash
0000000000000008835:	halt lath
0000000000000120745:	haul hula
0000000000000028595:	Ahom moha
0000000000000167485:	ahum Huma
0000000000000191995:	hawm wham
0000000000000008645:	Hano Noah
0000000000000020995:	nash Shan
0000000000000015295:	hoar hora
0000000000000011305:	Saho Shoa
0000000000000040565:	ahoy Hoya
0000000000000260965:	hapu Hupa
0000000000000004845:	shat tash
0000000000000075905:	shaw wash
0000000000000098515:	ashy shay
0000000000000585295:	hayz hazy
0000000000000141515:	jail lija
0000000000000196295:	ijma jami
0000000000000059345:	Jain jina
0000000000000343255:	kaik kaki
0000000000000186835:	Akim maki
0000000000000291115:	paik pika
0000000000000099935:	ikra raki
0000000000000013035:	Atik ikat
0000000000000317185:	Kavi kiva
0000000000000080135:	wail wali
0000000000000151745:	Alix axil
0000000000000009295:	nain Nina
0000000000000005005:	aion naio
0000000000000033605:	awin wain
0000000000000072215:	Nazi zain
0000000000000001155:	iota tiao
0000000000000246895:	paip pipa
0000000000000011055:	atip pita
0000000000000051865:	arui Uria
0000000000000077165:	airy yair
0000000000000127765:	Izar zira
0000000000000008715:	jato jota
0000000000001140005:	jaup puja
0000000000000159185:	Klan lank
0000000000000281635:	kral lark
0000000000000208165:	lask skal
0000000000000575515:	lawk walk
0000000000000746945:	alky laky
0000000000000118895:	amok mako
0000000000000288745:	kasm mask
0000000000000035945:	kona nako
0000000000000344045:	knap pank
0000000000000087295:	kans sank
0000000000000168665:	kayo oaky
0000000000000554185:	kyar yark
0000000000000020145:	Skat task
0000000000000275315:	kusa skua
0000000000000197005:	Lula ulla
0000000000000446555:	lamp palm
0000000000000273265:	alum maul
0000000000000072695:	alop opal
0000000000000024955:	Lora oral
0000000000000018445:	also sola
0000000000000003255:	alto Lota
0000000000000176545:	salp slap
0000000000000031155:	palt plat
0000000000000425785:	Paul upla
0000000000000108035:	Saul Sula
0000000000000160735:	Lyas slay
0000000000000021855:	twal walt
0000000000000260555:	aulu Ulua
0000000000000463915:	Ulva uval
0000000000000064715:	ammo mamo
0000000000000114595:	Maun Numa
0000000000000170495:	many myna
0000000000000091805:	Amoy Mayo
0000000000000331315:	pram ramp
0000000000000677035:	mawp wamp
0000000000000084065:	arms Mars
0000000000000014835:	Mart tram
0000000000000010965:	mast stam
0000000000000026445:	muta taum
0000000000000045955:	azon onza
0000000000000074035:	snap span
0000000000000070265:	warn wran
0000000000000091195:	nary yarn
0000000000000003315:	nast sant
0000000000000045305:	ansu anus
0000000000000007035:	atop pato
0000000000000920245:	paup pupa
0000000000000130985:	rasp Spar
0000000000000315905:	prau rupa
0000000000000362135:	warp wrap
0000000000000267665:	swap Wasp
0000000000000161345:	Arry yarr
0000000000000014145:	Ruta taur
0000000000000329705:	awry wary
0000000000000001845:	Tatu taut
0000000000000002115:	twat watt
0000000000006407111:	blub bulb
0000000000000247009:	bobo boob
0000000000000312613:	Bosc scob
0000000000000028826:	bode dobe
0000000000000158543:	biod boid
0000000000000520927:	bird drib
0000000000000331499:	bord brod
0000000000000879193:	body doby
0000000000001941637:	burd drub
0000000000000058646:	bego Egbo
0000000000000192694:	berg gerb
0000000000000008094:	Beth theb
0000000000000123398:	bike kibe
0000000000000013206:	belt blet
0000000000000180482:	blue lube
0000000000000075686:	Benu unbe
0000000000000002982:	bote tobe
0000000000000009798:	Bert bret
0000000000001889239:	Bugi guib
0000000000000205261:	Bogo gobo
0000000000003950227:	burg grub
0000000000000066101:	boho hobo
0000000000000028329:	both thob
0000000000000169477:	bilo boil
0000000000000233519:	birn brin
0000000000000172601:	nibs snib
0000000000000092939:	bios Bois
0000000000000016401:	bito obit
0000000000000288757:	bojo jobo
0000000000000510419:	bonk knob
0000000000002989597:	bunk knub
0000000000001609783:	bouk kobu
0000000000000046221:	blot bolt
0000000000000724129:	blow bowl
0000000000002075543:	blur burl
0000000000000394121:	bony byon
0000000000000351379:	bozo zobo
0000000000000034293:	bort brot
0000000000000468671:	buro roub
0000000000004084133:	bury ruby
0000000000000148461:	bust stub
0000000000000023606:	dice iced
0000000000000015022:	code coed
0000000000000224257:	chid dich
0000000000000232841:	clod cold
0000000000000307951:	douc Duco
0000000000000002812:	chee eche
0000000000000003404:	cere Cree
0000000000000010582:	cine Nice
0000000000000054538:	epic pice
0000000000000018722:	Eric rice
0000000000000013838:	cise sice
0000000000000059422:	cive vice
0000000000000094054:	clue luce
0000000000000006734:	cone once
0000000000000011914:	cero core
0000000000000001554:	cote Teco
0000000000000084286:	ceps spec
0000000000000003774:	cest sect
0000000000000076738:	scye syce
0000000000000239723:	chil lich
0000000000000100529:	Chin inch
0000000000000388759:	hock Koch
0000000000000152551:	Chol loch
0000000000001239389:	chum much
0000000000000083657:	cosh scho
0000000000000014763:	coth ocht
0000000000000201761:	Chou ouch
0000000000000489991:	cush such
0000000000000190883:	cipo pico
0000000000000253561:	Cixo Coix
0000000000000383801:	cuir uric
0000000000000634291:	colk lock
0000000000000265993:	conk nock
0000000000000470603:	cork rock
0000000000001248121:	coky yock
0000000000002037331:	cusk suck
0000000000000056203:	cool loco
0000000000000537943:	clop colp
0000000000000024087:	clot Colt
0000000000000377363:	clow cowl
0000000000000489769:	cloy coly
0000000000000256151:	corm Crom
0000000000000138047:	Cuon unco
0000000000000121471:	coop poco
0000000000000030821:	Coos soco
0000000000000013209:	cost Scot
0000000000001727863:	cusp scup
0000000000000593147:	crus scur
0000000000000115107:	cyst scyt
0000000000000007772:	deep peed
0000000000000005452:	wede weed
0000000000000007076:	eyed yede
0000000000000095294:	delf fled
0000000000000140302:	degu gude
0000000000000050402:	Dike Keid
0000000000000084506:	lewd weld
0000000000000152134:	demy emyd
0000000000000005278:	done node
0000000000000017342:	dern rend
0000000000000012818:	send sned
0000000000000002262:	dent tend
0000000000000045994:	deny dyne
0000000000000006902:	does dose
0000000000000081374:	dyer yerd
0000000000000166286:	dewy wyde
0000000000000432883:	gird grid
0000000000000155701:	dong Gond
0000000000000327613:	dink kind
0000000000000603229:	idly idyl
0000000000000562397:	duim muid
0000000000000029029:	nodi Odin
0000000000000012441:	dint tind
0000000000000015631:	iodo ooid
0000000000000112259:	Doko dook
0000000000000044051:	dool lood
0000000000000106981:	slod sold
0000000000000018879:	dolt told
0000000000000258013:	loud ludo
0000000000000295771:	dowl wold
0000000000000626603:	slud suld
0000000000000061103:	doom mood
0000000000000060697:	dorn rond
0000000000000044863:	snod sond
0000000000000160979:	ondy yond
0000000000000046371:	dunt tund
0000000000000942877:	duny undy
0000000000000557641:	doup updo
0000000000000219443:	drow word
0000000000000037149:	doty tody
0000000000000060639:	dust stud
0000000000000006572:	feel flee
0000000000000002356:	heel hele
0000000000000001748:	heer here
0000000000000004108:	keen knee
0000000000000021172:	keep peek
0000000000000007268:	eker reek
0000000000000005372:	seek skee
0000000000000002852:	leer reel
0000000000000007564:	eely yeel
0000000000000003956:	mere reem
0000000000000003484:	neep peen
0000000000000002444:	ween wene
0000000000000003172:	eyen eyne
0000000000000004324:	ewer were
0000000000000004148:	yees yese
0000000000000000036:	teet tete
0000000000000000564:	twee weet
0000000000000061798:	feif Fife
0000000000000092114:	Efik fike
0000000000000192602:	ferk kerf
0000000000000023002:	floe fole
0000000000000055862:	fels self
0000000000000134726:	flue fuel
0000000000000154442:	flew Welf
0000000000000017066:	fore froe
0000000000000424682:	eggy yegg
0000000000000016874:	gein gien
0000000000000010738:	Geon gone
0000000000000004602:	gent teng
0000000000000014042:	goes sego
0000000000000111274:	grue urge
0000000000000165554:	grey gyre
0000000000000006018:	gest steg
0000000000000009614:	heir hire
0000000000000030514:	hevi hive
0000000000000050654:	helm heml
0000000000000008398:	nesh Shen
0000000000000023218:	hewn when
0000000000000017822:	hope peho
0000000000000006118:	hero hoer
0000000000000004522:	hose shoe
0000000000000035834:	huer hure
0000000000000006954:	they yeth
0000000000000053878:	kiel like
0000000000000012166:	Ekoi Okie
0000000000000039974:	kier Reki
0000000000000040678:	Emim Mime
0000000000000006622:	meio oime
0000000000000019162:	pien pine
0000000000000011726:	Niue unie
0000000000000020878:	vein vine
0000000000000028886:	Inez zein
0000000000000025058:	pise sipe
0000000000000004422:	piet tipe
0000000000000001122:	seit site
0000000000000075482:	view wive
0000000000000020418:	Jute teju
0000000000000034286:	koel loke
0000000000000200818:	leuk Luke
0000000000000298778:	kyle yelk
0000000000000047558:	Kome moke
0000000000000047242:	kern renk
0000000000000006162:	kent knet
0000000000000025438:	Kore roke
0000000000000018802:	skeo soke
0000000000000434026:	keup puke
0000000000000163846:	skey Skye
0000000000000028914:	kyte tyke
0000000000000090334:	Llew well
